date,equity,cash,positions,drawdown,returns
2024-11-26,1004924.0038000005,882093.0038000005,5,-0.04546852839198372,-0.002685509551913934
2024-11-27,1008377.0038000005,882093.0038000005,5,-0.04218868120055525,0.003436080725450763
2024-11-28,1008468.0038000005,882093.0038000005,5,-0.04210224445151964,9.024402545576571e-05
2024-11-29,1011870.6662000006,882093.0038000005,5,-0.03887021065018186,0.003374090588078582
2024-12-02,1012691.4027000006,878428.7692000006,5,-0.03809063048672173,0.0008111081064166026
2024-12-03,1015218.9231000005,898891.6777000006,5,-0.03568985415158767,0.0024958446307148385
2024-12-04,1012827.5819750006,898469.7131000005,5,-0.03796128000521593,-0.002355493057298319
2024-12-05,1014426.9699750005,908674.9699750005,5,-0.03644209430008876,0.0015791315604587464
2024-12-06,1014792.4787250005,897676.9879750005,5,-0.03609491421114287,0.00036031056036400777
2024-12-09,1012188.2787250006,920518.4787250005,5,-0.038568525000577523,-0.0025662389647111983
2024-12-10,1012586.1279250005,908147.1247250005,5,-0.03819062619338614,0.00039305849352566646
2024-12-11,1013372.1279250005,923310.1279250005,5,-0.037444040646770795,0.0007762302665657028
2024-12-12,1015268.1299250005,923310.1279250005,5,-0.035643114833089164,0.00187098297629551
2024-12-13,1011209.0964250006,931183.3299250006,4,-0.03949860560195355,-0.003997991644138166
2024-12-16,1010304.0964250006,953858.1964250006,4,-0.0403582238203847,-0.0008949682149809179
2024-12-17,1009067.8964250005,953858.1964250006,4,-0.04153243381113017,-0.0012235919901487646
2024-12-18,1008957.1689250006,953858.1964250006,3,-0.04163760881254593,-0.0001097324574413916
2024-12-19,1008577.6689250006,974002.7689250006,3,-0.041998078551656014,-0.00037613093170674183
2024-12-20,1008600.9709250006,961997.7809250006,3,-0.04197594504477656,2.310382305492631e-05
2024-12-23,1006583.0909250005,965512.1909250006,3,-0.043892637211194185,-0.0020006722759244866
2024-12-24,1007507.5791250005,934176.9019250006,5,-0.04301450804053713,0.0009184420127208437
2024-12-25,1005201.1501250006,911194.7501250006,5,-0.04520527973989386,-0.00228924233205563
2024-12-26,1008482.9791250005,902541.1101250006,5,-0.042088020073401476,0.003264848035233303
2024-12-27,1010904.8386250006,884362.0411250006,5,-0.03978760620745609,0.00240148772971982
2024-12-30,1008544.8351250006,883308.7846250006,5,-0.04202926588056247,-0.002334545656354714
2024-12-31,1005016.4551250006,902272.4551250006,5,-0.04538071309553275,-0.003498486013824742
2025-01-02,1003327.4551250006,902272.4551250006,5,-0.04698501715180923,-0.001680569498526241
2025-01-03,997555.4551250006,902272.4551250006,5,-0.05246757666206846,-0.005752857624414243
2025-01-06,996786.4551250006,902272.4551250006,5,-0.05319801468413868,-0.0007708844616599597
2025-01-07,1000595.4551250006,902272.4551250006,5,-0.049580019331647796,0.0038212798542915927
2025-01-08,1001363.4551250006,902272.4551250006,5,-0.048850531163962575,0.00076754296260928
2025-01-09,1003430.4551250006,902272.4551250006,5,-0.04688718215015353,0.0020641855755980654
2025-01-10,999558.0471250005,902272.4551250006,3,-0.050565405869488975,-0.003859169292920961
2025-01-13,998556.0471250005,936897.0471250005,3,-0.051517159963265786,-0.0010024430325802358
2025-01-14,1001379.5511250005,936897.0471250005,2,-0.0488352423077816,0.002827586902236723
2025-01-15,1001133.7591250004,943291.7411250004,2,-0.0490687089167812,-0.00024545338450732146
2025-01-16,1001154.7591250004,975211.7591250004,2,-0.04904876197469606,2.097621802144012e-05
2025-01-17,1001204.8751250005,967314.8751250005,3,-0.04900115907233703,5.005819484282803e-05
2025-01-20,1002005.1949250005,967314.8751250005,3,-0.04824097180089921,0.000799356675026397
